series,time,juv,adult
1,54,12.028663838347729,25.75449063797954
1,55,11.487854258152886,24.5297236464
1,57,10.40622872731418,22.080185582489243
1,60,8.783742733965871,18.405847950958346
1,61,8.242880867801489,17.18104751647621
1,63,7.161025028836067,14.731362700590626
1,64,6.619967986665161,13.506439236550964
1,65,6.0787466960733205,12.281415428956304
1,67,4.995313091937423,9.830820982209135
1,68,4.452638585280128,8.605123256971206
1,69,3.908776377040638,7.379285852936186
1,70,3.3630346858147577,6.154312927980481
1,71,2.8144021375356956,4.934268315755522
1,72,2.2610561118617483,3.7325349881166052
1,73,1.6944085486476497,2.5836873918129752
1,74,1.0366551537308633,1.540693032538473
1,75,-0.5506830611804736,0.3931351673619244
1,76,-1.1277180655973964,-0.7483894517363257
