variable,MSE,MSE_SE,MAE,MAE_SE,correlation,count,covars,covars_ind,tau_,tau_ind,regularization,regularization_ind
MacJuv,0.6664446945487532,0.18641864791222137,0.6613081253256239,0.10703183122956032,0.7886307016307087,21,String[],1,0.05,1,10.0,1
MacPyr,2.1214415630884673,1.1790778205270054,0.9973517477963798,0.23735322351465699,0.2123241954439508,21,String[],1,0.05,1,10.0,1
MacJuv,37.89429792512259,7.333356412173843,5.273965796477933,0.7099148787954612,-0.45479313186911813,21,"[""StrPur""]",2,0.05,1,10.0,1
MacPyr,7.964999408712281,1.6279984203234532,2.452970552901827,0.31208451381867575,-0.6245842195329743,21,"[""StrPur""]",2,0.05,1,10.0,1
MacJuv,48.86857319152479,8.899237487365456,6.158403444069767,0.7396837233437819,-0.4469602950857417,21,"[""PycHel""]",3,0.05,1,10.0,1
MacPyr,10.735921271812119,2.2453088457930543,2.834486079602012,0.36753298738715523,-0.6397548294115181,21,"[""PycHel""]",3,0.05,1,10.0,1
MacJuv,1.3307346225723984,0.28179740907821504,1.0149051221059584,0.12261774253661012,0.6681635366273911,21,"[""StrPur"", ""PycHel""]",4,0.05,1,10.0,1
MacPyr,1.5460745045432334,0.3548883508016078,1.0683216058154827,0.14226093123044403,0.5347941734458943,21,"[""StrPur"", ""PycHel""]",4,0.05,1,10.0,1
MacJuv,3.021172214739108,1.7133702448918067,1.0669879486390625,0.30681500388655314,0.25006882001374836,21,String[],1,0.1,2,10.0,1
MacPyr,4.873290127771487,1.4958513159518163,1.7274172240329568,0.307353205765432,-0.37727093247703486,21,String[],1,0.1,2,10.0,1
MacJuv,1.2084518637242792,0.30558293383507557,0.9207636047140898,0.13428444585248775,0.6347573191091054,21,"[""StrPur""]",2,0.1,2,10.0,1
MacPyr,1.1565847207892972,0.3231415337104612,0.8521110119875625,0.1467125666122076,0.6371797753139045,21,"[""StrPur""]",2,0.1,2,10.0,1
MacJuv,1.5532204243433272,0.38038227893725246,1.0478289931948668,0.15087657627404583,0.5090606990605088,21,"[""PycHel""]",3,0.1,2,10.0,1
MacPyr,2.313019055936494,0.8562218733578948,1.1172100393458992,0.23074453232105288,0.3880491156449328,21,"[""PycHel""]",3,0.1,2,10.0,1
MacJuv,1.1208167698831208,0.24361710374782178,0.9129545260307774,0.11986050293633828,0.670219645541251,21,"[""StrPur"", ""PycHel""]",4,0.1,2,10.0,1
MacPyr,1.4385721559274782,0.33649389870732344,0.9929425032039807,0.15043891472263593,0.6145953491132858,21,"[""StrPur"", ""PycHel""]",4,0.1,2,10.0,1
MacJuv,1.443728809120076,0.3846077551992297,0.9499307088604935,0.16452362406108673,0.5470033212343786,21,String[],1,0.2,3,10.0,1
MacPyr,1.6199169258470512,0.801766365338121,0.940254027611924,0.1918123157420564,0.43564261220527656,21,String[],1,0.2,3,10.0,1
MacJuv,1.3967173043781569,0.37800262921734173,0.9906624375039919,0.14410156822477782,0.6531537666716976,21,"[""StrPur""]",2,0.2,3,10.0,1
MacPyr,1.8191617133303115,0.6900394878209091,0.9854674761801162,0.20591449277813154,0.44051828965142253,21,"[""StrPur""]",2,0.2,3,10.0,1
