series,time,juv,adult
1,25,-1.684302023694303,-2.6715248148009336
1,27,-2.7121431203396913,-3.9426756953695574
1,28,-3.263219841957925,-4.656283083825423
1,29,-3.8199807110487134,-5.387064757564946
2,25,-1.7070142025672148,-2.5893538398121487
2,27,-2.749696504660889,-3.878575470508631
2,28,-3.302360837555371,-4.59634074766764
2,29,-3.859693648349385,-5.328936936076816
3,25,-1.4184711386798787,-2.230356001919427
3,27,-2.3931022375030153,-3.3651637477437575
3,28,-2.939524771133157,-4.06414602215737
3,29,-3.494663434054178,-4.789193822491952
4,26,0.35004415384340204,0.2903026269987666
4,27,-0.21489098293767042,0.011394045616406006
4,28,0.7827311641654305,0.31758807859701005
4,29,0.18922917473837883,0.260778116360778
5,26,-1.25925389021103,0.5164392140636923
5,27,-1.1352292831759674,0.11149944091007408
5,28,-0.7295339896713562,-0.7483039286191926
5,29,-1.0763784650663326,-1.6093917955387034
6,26,0.9164585696055582,0.7992554915022603
6,27,-0.43087127529663904,0.47662863118416027
6,28,-1.0761732866107094,0.20627550648455115
6,29,-0.19424583023968692,-0.41909974296306934
