series,time,juv,adult
1,28,-1.4018584856052332,-2.02342009714545
1,29,-1.8456083404439028,-2.509682478061071
2,28,0.495570795289802,0.49113517602731965
2,29,-0.7902643837688238,0.3980125859510303
3,28,-0.6972545322697877,0.40862723333341355
3,29,-0.35678772551643134,-0.1913273846846263
4,28,0.856610215453987,0.28594407131613664
4,29,0.6543240455762337,0.37708576601163296
5,28,-0.6806646182119152,0.37689021960219776
5,29,-0.1874771490816207,-0.20869484924930246
6,28,0.7295945263113233,-0.08960809076764191
6,29,0.522879023560371,0.5732055756118571
