series,time,juv_f,adult_f,juv,adult,sim
1,1,0.23877029791679646,0.5636919815723773,-1.28534570659737,-1.03002692733709,1
2,1,-1.2018737596210096,-1.4547120890599916,-0.753044290768257,0.126279374293161,1
3,1,0.49056469800933983,0.22679962346513224,-0.411580972359574,0.237657733094583,1
4,1,-0.40090762400630264,0.07942318171256031,-1.28534570659737,0.183826237575128,1
5,1,-0.3073526640321433,0.052961440558130735,-1.28534570659737,0.237657733094583,1
6,1,-2.0562320604043847,-2.012535123751009,-0.350373814296942,-0.918648568535666,1
1,1,0.2255071111477951,0.5880168834840449,0.536159141595623,0.237657733094583,2
1,2,0.0943369894544936,0.44512004990953136,-1.28534570659737,-1.03002692733709,2
2,1,1.4491363404821385,1.317288450612067,-1.28534570659737,0.593054166306864,2
2,2,1.246422037281123,1.2825577096380745,-0.753044290768257,0.126279374293161,2
3,1,2.3705039011717126,1.946492003881562,0.618448275560071,0.15554899795196,2
3,2,1.8011771211611176,1.574783408714139,-0.411580972359574,0.237657733094583,2
4,1,-0.4310108598906484,0.18575419120159378,0.0224988127852531,0.211176185625796,2
4,2,-0.6494080916584403,-0.023887030774878745,-1.28534570659737,0.183826237575128,2
5,1,-0.18622204495460493,0.663261320941761,-0.753044290768257,0.33590040808072,2
5,2,-0.6714157125904197,0.39542690307250766,-1.28534570659737,0.237657733094583,2
6,1,-0.08301003077398471,0.21318000167932394,-1.28534570659737,-0.820405893549528,2
6,2,-0.27631914124884543,0.04519006260445662,-0.350373814296942,-0.918648568535666,2
1,1,-0.5300102373888674,-0.4163292479858733,0.618448275560071,0.33590040808072,3
1,2,-0.9857001525388324,-1.359798166757896,0.536159141595623,0.237657733094583,3
1,3,-1.304175045837736,-2.001682046485248,-1.28534570659737,-1.03002692733709,3
2,1,-1.5187899460070764,-1.1450276534414376,2.62143279142576,1.04263043800892,3
2,2,-2.1064761241186676,-2.254747729046682,-1.28534570659737,0.593054166306864,3
2,3,-2.657964372885682,-3.136647570542358,-0.753044290768257,0.126279374293161,3
3,1,0.31852858625416874,0.25651746244137863,2.26820463429095,0.358753856381792,3
3,2,0.13563569778200604,0.0701439353774668,0.618448275560071,0.15554899795196,3
3,3,0.06556105438516856,-0.020641590324654558,-0.411580972359574,0.237657733094583,3
4,1,2.037672364332837,0.9442277588444313,0.548652756438605,0.484104044107036,3
4,2,0.5278944358502712,0.6232903657648727,0.0224988127852531,0.211176185625796,3
4,3,-0.8495280909451536,0.05516009402113375,-1.28534570659737,0.183826237575128,3
5,1,-1.1934309950179394,0.7658979242473841,1.07847685209768,0.878554640536505,3
5,2,-1.702634392656252,0.3563899279894091,-0.753044290768257,0.33590040808072,3
5,3,-0.09849896341003561,0.17033679767862844,-1.28534570659737,0.237657733094583,3
6,1,0.6951436870718594,0.7973522688145438,-0.0773342771834238,0.0959451701662267,3
6,2,0.5502161519755085,0.7667000592113611,-1.28534570659737,-0.820405893549528,3
6,3,0.22566284594931177,0.5167001110066567,-0.350373814296942,-0.918648568535666,3
1,1,0.2606316272854909,0.7087449191364512,-0.197958358611432,0.689403313388867,4
1,2,0.014572635207039383,0.3895348762948284,0.618448275560071,0.33590040808072,4
1,3,0.06643740077471315,0.37505993208905547,0.536159141595623,0.237657733094583,4
1,4,0.12998101701972417,0.48817375723931494,-1.28534570659737,-1.03002692733709,4
2,1,1.4301292775162404,1.291718847952166,-0.882675230126054,1.41963063470958,4
2,2,0.8529903882311686,1.0602028916076147,2.62143279142576,1.04263043800892,4
2,3,-0.2939672012709108,0.5914021063809283,-1.28534570659737,0.593054166306864,4
2,4,0.6503040867909314,-0.08965585213955767,-0.753044290768257,0.126279374293161,4
3,1,2.3807424172316556,1.9852421070991528,0.618448275560071,0.733702148767084,4
3,2,1.5778921823072707,1.5072802827014222,2.26820463429095,0.358753856381792,4
3,3,0.5670190706169721,0.5557805514428836,0.618448275560071,0.15554899795196,4
3,4,0.21730764579575157,0.15349654906866525,-0.411580972359574,0.237657733094583,4
4,1,2.399568714343528,0.8257917700875151,1.08832337086541,-0.289928500472415,4
4,2,1.6464928763194573,1.0108671287846647,0.548652756438605,0.484104044107036,4
4,3,-0.3770541335677379,0.31241277231030407,0.0224988127852531,0.211176185625796,4
4,4,-0.9812529766721242,-0.07669351094852361,-1.28534570659737,0.183826237575128,4
5,1,1.2963587617419627,1.2121932743940933,1.54901915666395,1.55360622965108,4
5,2,-0.2222100464486194,0.7209302090296263,1.07847685209768,0.878554640536505,4
5,3,-0.9379275138510282,0.41939724553814434,-0.753044290768257,0.33590040808072,4
5,4,0.27650739523667645,0.26810729118612125,-1.28534570659737,0.237657733094583,4
6,1,-0.02846782874946868,0.151116933982537,0.247763713962973,-0.394326913239996,4
6,2,0.0063606537571689655,0.3047720277124443,-0.0773342771834238,0.0959451701662267,4
6,3,-0.1834718365965753,0.1632438337225114,-1.28534570659737,-0.820405893549528,4
6,4,-0.36818895949991,-0.017472730961598567,-0.350373814296942,-0.918648568535666,4
1,1,-0.45037242612738143,-0.7795432847104092,0.325336199287891,0.183826237575128,5
1,2,0.18534846789195988,0.23389518197522738,-0.197958358611432,0.689403313388867,5
1,3,0.21528242955979274,0.6017375965662372,0.618448275560071,0.33590040808072,5
1,4,0.05456702175493595,0.3833762643724601,0.536159141595623,0.237657733094583,5
1,5,0.08752848846380219,0.3787345000630424,-1.28534570659737,-1.03002692733709,5
2,1,0.9081020605417948,-0.006128557342771137,2.18205975144069,0.841477483894459,5
2,2,0.8074021805649715,1.0127014083204733,-0.882675230126054,1.41963063470958,5
2,3,-0.3421754069702094,0.5442621499143302,2.62143279142576,1.04263043800892,5
2,4,0.7098842203040006,-0.0292740599399992,-1.28534570659737,0.593054166306864,5
2,5,0.6873650133453303,0.9598847767300943,-0.753044290768257,0.126279374293161,5
3,1,0.24658319059355435,0.020883673441068965,2.15155769612041,0.423781475489621,5
3,2,0.20015611043718515,0.031206565204842284,0.618448275560071,0.733702148767084,5
3,3,0.15995233869294448,0.014653377501916316,2.26820463429095,0.358753856381792,5
3,4,0.13367366331161515,-0.0018434921357911643,0.618448275560071,0.15554899795196,5
3,5,0.11715118211374517,-0.014822786513774689,-0.411580972359574,0.237657733094583,5
4,1,-0.07309505060290478,0.12897654189268512,-0.480004753654739,-1.03002692733709,5
4,2,0.07927414638298373,0.22565416661728863,1.08832337086541,-0.289928500472415,5
4,3,-0.16511356460982443,0.17820389101592504,0.548652756438605,0.484104044107036,5
4,4,-0.2650580557021604,0.1137666288968626,0.0224988127852531,0.211176185625796,5
4,5,-0.09983233840836588,0.1419416633695715,-1.28534570659737,0.183826237575128,5
5,1,1.48568229553897,0.4980582192877823,1.24931222956505,0.0317520670695359,5
5,2,1.0846904885881887,1.0752012658085326,1.54901915666395,1.55360622965108,5
5,3,0.5935938881146068,0.7277519381352755,1.07847685209768,0.878554640536505,5
5,4,1.2300743353267671,0.8999519683983432,-0.753044290768257,0.33590040808072,5
5,5,0.9987237526727812,0.8996844705179918,-1.28534570659737,0.237657733094583,5
6,1,-0.615586412136788,-0.4019266496449714,-0.411580972359574,-0.513687138536336,5
6,2,-0.5258500652442051,-0.3674327093845906,0.247763713962973,-0.394326913239996,5
6,3,-0.26383793705454334,-0.07324821270638475,-0.0773342771834238,0.0959451701662267,5
6,4,-0.1290176777961619,0.15612093276104344,-1.28534570659737,-0.820405893549528,5
6,5,-0.23975548362322127,0.09526378400008442,-0.350373814296942,-0.918648568535666,5
1,1,-1.6523093427845668,-2.0884357331874503,-0.647128101242814,-1.15860380645016,6
1,2,-2.0876172501970376,-2.8887118187945275,0.325336199287891,0.183826237575128,6
1,3,-2.397545751302305,-3.4232271264103025,-0.197958358611432,0.689403313388867,6
1,4,-2.6350919369649763,-3.8038417792415204,0.618448275560071,0.33590040808072,6
1,5,-2.8329446706098347,-4.098627420891136,0.536159141595623,0.237657733094583,6
1,6,-3.010031332266244,-4.34672980678205,-1.28534570659737,-1.03002692733709,6
2,1,0.7691589443430544,0.8315776248396403,-0.882675230126054,-0.03779642317925,6
2,2,-0.2873772826680453,0.6263196156024929,2.18205975144069,0.841477483894459,6
2,3,0.6561311009287519,-0.11733814835966763,-0.882675230126054,1.41963063470958,6
2,4,0.6118231895548015,0.9379525068306717,2.62143279142576,1.04263043800892,6
2,5,-0.4760791760167155,0.0862974323325747,-1.28534570659737,0.593054166306864,6
2,6,0.9727121397370053,0.4269848125997524,-0.753044290768257,0.126279374293161,6
3,1,0.19234823468163892,0.06321524315261888,0.226636632994981,-0.340495417720542,6
3,2,0.181891736235544,0.09945382214947676,2.15155769612041,0.423781475489621,6
3,3,0.1739064854712585,0.10912786830524118,0.618448275560071,0.733702148767084,6
3,4,0.16897798753377472,0.11082019834289086,2.26820463429095,0.358753856381792,6
3,5,0.16609183417977594,0.11017741769429737,0.618448275560071,0.15554899795196,6
3,6,0.16443217462887727,0.10908043003868366,-0.411580972359574,0.237657733094583,6
4,1,-0.03532418545746456,0.2542353983250668,-0.411580972359574,-0.00229750481991066,6
4,2,-0.38287833692408924,0.10803869379133632,-0.480004753654739,-1.03002692733709,6
4,3,-0.189385013336815,0.10151210592990137,1.08832337086541,-0.289928500472415,6
4,4,0.08895614171842632,0.2083107464731074,0.548652756438605,0.484104044107036,6
4,5,-0.0520276757873124,0.21327071458999544,0.0224988127852531,0.211176185625796,6
4,6,-0.24663816130592314,0.1387579519398071,-1.28534570659737,0.183826237575128,6
5,1,1.4096232223156453,0.9482949926874995,-1.28534570659737,0.0317520670695359,6
5,2,0.994457855036074,0.8826058902801175,1.24931222956505,0.0317520670695359,6
5,3,1.1570356632838337,0.8781086607477158,1.54901915666395,1.55360622965108,6
5,4,1.1111635480360957,0.8957081143779033,1.07847685209768,0.878554640536505,6
5,5,1.1183082758936995,0.8835780485410432,-0.753044290768257,0.33590040808072,6
5,6,1.1212492892023311,0.8902330010610846,-1.28534570659737,0.237657733094583,6
6,1,-0.541971126008191,-0.1817898099409441,-0.557577238979657,-0.289928500472415,6
6,2,-0.6744711958923468,-0.38980365523490573,-0.411580972359574,-0.513687138536336,6
6,3,-0.7562761837395956,-0.5710058244942774,0.247763713962973,-0.394326913239996,6
6,4,-0.7590809249029815,-0.6684523811770609,-0.0773342771834238,0.0959451701662267,6
6,5,-0.5779527667291811,-0.5239779864952878,-1.28534570659737,-0.820405893549528,6
6,6,-0.11087579549790562,0.05868482007035171,-0.350373814296942,-0.918648568535666,6
1,1,0.394714224629734,0.7412539261839853,-1.28534570659737,-0.820405893549528,7
1,2,0.06231830645453904,0.4526910514846169,-0.647128101242814,-1.15860380645016,7
1,3,0.0580759943208974,0.3412845858715861,0.325336199287891,0.183826237575128,7
1,4,0.15335078583961087,0.4694897325787123,-0.197958358611432,0.689403313388867,7
1,5,0.1312581780115005,0.4785675175081412,0.618448275560071,0.33590040808072,7
1,6,0.11281360213811552,0.4433469357694737,0.536159141595623,0.237657733094583,7
1,7,0.12454577562065146,0.45264537896985524,-1.28534570659737,-1.03002692733709,7
2,1,0.6657274084660492,0.12470079434921609,-0.295005204872071,-0.00229750481991066,7
2,2,0.21110707984058358,0.7498952994339352,-0.882675230126054,-0.03779642317925,7
2,3,0.22211741455436376,-0.20357254865729793,2.18205975144069,0.841477483894459,7
2,4,0.8267116812687437,0.9411685787004217,-0.882675230126054,1.41963063470958,7
2,5,-0.3377837529640703,0.5041277600820303,2.62143279142576,1.04263043800892,7
2,6,0.8462607801881904,0.005087318028228165,-1.28534570659737,0.593054166306864,7
2,7,0.6860501811546562,0.9554325803075562,-0.753044290768257,0.126279374293161,7
3,1,0.14356497688083722,-0.07966992372670119,0.30689240576723,-0.113675863621332,7
3,2,0.16012136119820447,-0.013015399750403915,0.226636632994981,-0.340495417720542,7
3,3,0.15135894577205802,0.0022307062980095904,2.15155769612041,0.423781475489621,7
3,4,0.14486625257491945,-0.0015883973429404003,0.618448275560071,0.733702148767084,7
3,5,0.14329930364546328,-0.006360175965245851,2.26820463429095,0.358753856381792,7
3,6,0.1437508703285947,-0.008042414556604125,0.618448275560071,0.15554899795196,7
3,7,0.14428001336728163,-0.007968384416376383,-0.411580972359574,0.237657733094583,7
4,1,-0.5351785773017458,0.15534767076974723,0.425169289256568,0.211176185625796,7
4,2,-0.5624695075900008,0.011053896134248418,-0.411580972359574,-0.00229750481991066,7
4,3,0.12331056782618927,0.12551180103794493,-0.480004753654739,-1.03002692733709,7
4,4,0.2211040537777884,0.30654109562735354,1.08832337086541,-0.289928500472415,7
4,5,-0.2927363854910334,0.18336745077113303,0.548652756438605,0.484104044107036,7
4,6,-0.4205900945394237,0.07518927635476501,0.0224988127852531,0.211176185625796,7
4,7,-0.09599786962572367,0.10773523670193765,-1.28534570659737,0.183826237575128,7
5,1,1.2256982313433378,0.9611557701036929,0.343212400482484,0.642619163093913,7
5,2,0.9770059245808418,0.8622522173218378,-1.28534570659737,0.0317520670695359,7
5,3,1.1056335034922702,0.8840133270730519,1.24931222956505,0.0317520670695359,7
