series,time,juv,adult
1,60,-16.966175085394795,-35.141395122328625
1,61,-15.596580438940787,-32.49379186167251
1,63,-12.857470434816685,-27.19877229929571
1,64,-11.488020805276685,-24.551510876441625
1,65,-10.118749758864693,-21.9046700169612
1,67,-7.381747593021726,-16.61460640421155
1,68,-6.015265535445322,-13.974329654595367
1,69,-4.651207537113529,-11.340472992869921
1,70,-3.2696831120030008,-8.683683627704218
1,71,-1.3475809782250174,-5.168030274087758
1,72,1.63195376383968,0.10988207570335394
1,73,2.3657431801333773,2.6930088265238283
1,74,1.742388493925514,2.758511491173334
1,75,0.3449715304891011,1.4211219997819144
1,76,-1.0908874468479415,-1.0081582966735751
