series,time,juv,adult
1,22,1.288208883927876,0.6483152594152555
1,23,-0.27762769079905286,0.6230925525502359
1,24,-0.896233282813032,0.25428635063558563
1,25,-1.7280227593426287,-0.3695196738214598
1,27,0.9453797683315283,0.8048492180902531
1,28,-0.4067708088037155,0.4941609640872773
1,29,-1.0491873617408431,0.08749438899843107
2,22,-1.270162007608208,-2.4946795958626358
2,23,-1.1156989153868375,-2.3923336263935115
2,24,-0.8775819655150933,-2.178650447586581
2,25,-0.5901304316684314,-1.9133593170842007
2,27,0.17787187759675285,-1.209673812801825
2,28,1.0504227771280528,-0.5077598827131774
2,29,1.0868122532197635,0.8337817296731036
3,22,-0.405935309074461,-1.3629723058920333
3,23,-0.3760134140762261,-1.3794500133836662
3,24,-0.3584744587896189,-1.3537970102295265
3,25,-0.3643656781247973,-1.3575255117381018
3,27,-0.36395576507965044,-1.3581494910549454
3,28,-0.36405510615708697,-1.3581771196376826
3,29,-0.36407153327058006,-1.3582149281109848
4,23,1.9484683596406698,0.4245278238463259
4,24,0.3177595797708086,0.7351074750192768
4,25,-0.5657115866344258,0.32254678790289
4,26,-0.45071643597761135,-0.06197455554405239
4,27,1.6786006933336723,0.8309691250268826
4,28,-0.10921943384282244,0.45107369277846704
4,29,-0.3741338848878636,0.060578856206050455
5,23,2.009113220160691,1.2958157375766468
5,24,-0.05426520665411673,0.8488193942955725
5,25,-0.3998690897462704,0.4859109937908229
5,26,1.9091597747429505,0.5215013241776434
5,27,0.6673705302064945,0.9737161109344811
5,28,-0.2305973763278708,0.5721582231359789
5,29,1.5074476911828913,0.328395482881272
6,23,-0.5128119107485216,-0.721965132785932
6,24,-0.7065756795026858,-1.1961412436914696
6,25,-0.6883597632507249,-1.2400775912229354
6,26,-0.5804267402892895,-1.1521123120136878
6,27,-0.42654336854513664,-1.0130541828706443
6,28,-0.2070880638378737,-0.8147136294816653
6,29,0.19782649358661086,-0.4538820480474866
