"","PERIOD","SITE","MacJuv","MacPyr"
"1",1,1,-1.04979857771413,-0.197155344649374
"2",1,2,-0.0421155732236146,-0.394326913239996
"3",1,3,0.37739465332077,0.211176185625796
"4",1,4,-1.28534570659737,-0.113675863621332
"5",1,5,-1.28534570659737,0.55829502509895
"6",1,6,-0.480004753654739,-0.113675863621332
"7",2,1,1.13968401016031,-0.513687138536336
"8",2,2,1.53107392443137,-1.03002692733709
"9",2,3,1.2305102421992,-0.289928500472415
"10",2,4,0.483310842846213,-0.653026730636419
"11",2,5,1.3870270915182,0.126279374293161
"12",2,6,-0.197958358611432,-0.0748735798212954
"13",3,1,0.892856319076813,0.959150956980874
"14",3,2,1.43464806240893,0.914053558895844
"15",3,3,0.850330214370493,0.15554899795196
"16",3,4,0.584598078003485,0.7479605931282
"17",3,5,1.4635038254346,0.948103130785291
"18",3,6,0.618448275560071,-0.00229750481991066
"19",4,1,0.268149338927929,0.719195719066381
"20",4,2,1.04789449117878,0.789329336440921
"21",4,3,1.03733182383493,0.540356727635874
"22",4,4,0.204712117859884,0.761979388390252
"23",4,5,0.728006675759206,0.828742905488951
"24",4,6,-0.154906762508342,0.15554899795196
"25",5,1,-0.882675230126054,0.55829502509895
"26",5,2,0.95132323290992,0.936907007196916
"27",5,3,1.0531046669056,0.7479605931282
"28",5,4,-0.480004753654739,0.575855645995213
"29",5,5,1.27818429278291,0.464477287193792
"30",5,6,-0.557577238979657,0.0317520670695359
"31",6,1,-0.411580972359574,-0.580450655635035
"32",6,2,1.07349029187056,0.464477287193792
"33",6,3,0.618448275560071,0.211176185625796
"34",6,4,-1.28534570659737,0.0644660122787884
"35",6,5,0.629307109466296,0.540356727635874
"36",6,6,-0.114826685413702,-0.918648568535666
"37",7,1,1.52188905801251,1.54820751382266
"38",7,2,2.02621696605288,0.237657733094583
"39",7,3,1.89852569694287,0.0644660122787884
"40",7,4,2.26370376518391,0.789329336440921
"41",7,5,2.14208579010112,0.828742905488951
"42",8,1,-1.28534570659737,1.14527469937591
"43",8,4,1.51490383518118,1.84570961501912
"44",8,5,1.5078335974098,1.58008777711987
"45",9,1,-0.647128101242814,0.593054166306864
"46",9,2,-1.28534570659737,0.288224650342709
"47",9,3,-1.28534570659737,0.464477287193792
"48",9,4,-1.28534570659737,0.815810883909706
"49",9,5,-1.28534570659737,0.841477483894459
"50",9,6,-1.28534570659737,-0.113675863621332
"51",10,1,-1.04979857771413,0.15554899795196
"52",10,2,-1.28534570659737,-0.197155344649374
"53",10,3,0.780065129792086,-0.289928500472415
"54",10,4,-1.28534570659737,0.15554899795196
"55",10,5,-1.28534570659737,0.402663925179419
"56",10,6,-1.28534570659737,-0.03779642317925
"57",11,1,-1.28534570659737,-0.113675863621332
"58",11,2,-1.28534570659737,-0.242252742734404
"59",11,3,0.607382594331199,-0.340495417720542
"60",11,4,-1.28534570659737,-0.394326913239996
"61",11,5,-1.28534570659737,0.0317520670695359
"62",11,6,-0.295005204872071,-0.289928500472415
"63",12,1,-0.244457624771499,-2.07495487016591
"64",12,2,1.15293775687428,-0.289928500472415
"65",12,3,0.0224988127852531,-0.918648568535666
"66",12,4,0.607382594331199,-0.918648568535666
"67",12,5,1.68959073387087,-0.451873776521963
"68",12,6,0.18192760153217,-0.451873776521963
"69",13,1,-0.00891049588825903,1.14527469937591
"70",13,2,0.871982311822044,1.21271332673693
"71",13,3,-1.28534570659737,-2.07495487016591
"72",13,4,1.44000230030624,1.5037117015434
"73",13,5,0.639966687428357,1.537304107796
"74",13,6,0.425169289256568,0.263324333079335
"75",14,1,-0.647128101242814,0.704432525108286
"76",14,2,-0.0773342771834238,-0.394326913239996
"77",14,3,-1.28534570659737,-2.07495487016591
"78",14,4,-0.244457624771499,0.503279570993828
"79",14,5,0.548652756438605,0.878554640536505
"80",14,6,-0.0421155732236146,0.3124031166882
"81",15,1,-0.480004753654739,0.62642256324334
"82",15,2,-1.28534570659737,-0.820405893549528
"83",15,3,-1.28534570659737,-2.07495487016591
"84",15,4,-1.04979857771413,0.522024150475759
"85",15,5,-0.882675230126054,0.775766457387845
"86",15,6,-1.04979857771413,0.38099780616575
"87",16,1,-0.244457624771499,-0.451873776521963
"88",16,2,-0.350373814296942,-2.07495487016591
"89",16,3,0.885981319317528,-2.07495487016591
"90",16,4,1.66839942263032,0.263324333079335
"91",16,5,2.19017447093123,0.674098320981351
"92",16,6,-0.882675230126054,-0.0748735798212954
"93",17,1,0.080640366374898,0.126279374293161
"94",17,2,-1.28534570659737,-1.73675695726528
"95",17,3,-0.753044290768257,-0.918648568535666
"96",17,4,0.548652756438605,-0.154371675325503
"97",17,5,0.857637615117003,0.464477287193792
"98",17,6,-0.154906762508342,-0.113675863621332
"99",18,1,-0.350373814296942,0.0317520670695359
"100",18,2,-1.28534570659737,-2.07495487016591
"101",18,3,-1.28534570659737,-0.00229750481991066
"102",18,4,1.36622428111376,0.358753856381792
"103",18,5,0.607382594331199,0.719195719066381
"104",18,6,-0.0421155732236146,-0.289928500472415
"105",19,1,0.18192760153217,-0.154371675325503
"106",19,2,-1.28534570659737,-2.07495487016591
"107",19,3,-1.28534570659737,-2.07495487016591
"108",19,4,1.49827073621582,1.08143272180895
"109",19,5,1.75666418585255,1.37418211109482
"110",19,6,0.788305419720364,0.402663925179419
"111",21,1,-1.04979857771413,-2.07495487016591
"112",21,2,-1.28534570659737,-2.07495487016591
"113",21,3,0.0522966621743731,-0.918648568535666
"114",21,4,-0.557577238979657,-0.00229750481991066
"115",21,5,-0.557577238979657,0.62642256324334
