PERIOD,YEAR,SEASON,SITE,ADULT COUNT
40,2000,SPRING,6,4
41,2000,FALL,1,3
41,2000,FALL,2,6
41,2000,FALL,3,11
41,2000,FALL,4,6
41,2000,FALL,5,33
41,2000,FALL,6,13
42,2001,SPRING,1,1
42,2001,SPRING,2,2
42,2001,SPRING,3,4
42,2001,SPRING,4,20
42,2001,SPRING,5,14
42,2001,SPRING,6,0
43,2001,FALL,1,12
43,2001,FALL,2,18
43,2001,FALL,3,14
43,2001,FALL,4,49
43,2001,FALL,5,72
43,2001,FALL,6,26
44,2002,SPRING,1,6
44,2002,SPRING,2,7
44,2002,SPRING,3,8
44,2002,SPRING,4,9
44,2002,SPRING,5,7
44,2002,SPRING,6,7
45,2002,FALL,1,13
45,2002,FALL,2,4
45,2002,FALL,3,3
45,2002,FALL,4,15
45,2002,FALL,5,18
45,2002,FALL,6,13
46,2003,SPRING,1,4
46,2003,SPRING,2,3
46,2003,SPRING,3,8
46,2003,SPRING,4,19
46,2003,SPRING,5,18
46,2003,SPRING,6,0
47,2003,FALL,1,22
47,2003,FALL,2,1
47,2003,FALL,3,1
47,2003,FALL,4,71
47,2003,FALL,5,40
47,2003,FALL,6,33
49,2004,FALL,1,10
49,2004,FALL,4,28
49,2004,FALL,5,49
49,2004,FALL,6,26
50,2005,SPRING,1,14
50,2005,SPRING,2,23
50,2005,SPRING,3,13
50,2005,SPRING,4,36
50,2005,SPRING,5,45
50,2005,SPRING,6,33
51,2005,FALL,1,11
51,2005,FALL,2,14
51,2005,FALL,3,9
51,2005,FALL,4,47
51,2005,FALL,5,53
51,2005,FALL,6,37
52,2006,SPRING,1,5
52,2006,SPRING,2,13
52,2006,SPRING,3,4
52,2006,SPRING,4,18
52,2006,SPRING,5,32
52,2006,SPRING,6,14
53,2006,FALL,1,10
53,2006,FALL,2,13
53,2006,FALL,3,11
53,2006,FALL,4,29
53,2006,FALL,5,30
53,2006,FALL,6,44
54,2007,SPRING,1,0
54,2007,SPRING,2,8
54,2007,SPRING,3,8
54,2007,SPRING,4,26
54,2007,SPRING,6,20
55,2007,FALL,1,12
55,2007,FALL,2,7
55,2007,FALL,3,7
55,2007,FALL,4,7
55,2007,FALL,5,26
55,2007,FALL,6,17
56,2008,SPRING,4,3
56,2008,SPRING,5,8
57,2008,FALL,1,5
57,2008,FALL,2,6
57,2008,FALL,3,6
57,2008,FALL,4,14
57,2008,FALL,5,15
57,2008,FALL,6,4
60,2010,SPRING,2,7
60,2010,SPRING,3,11
60,2010,SPRING,4,22
60,2010,SPRING,5,11
60,2010,SPRING,6,10
61,2010,FALL,1,16
61,2010,FALL,2,13
61,2010,FALL,3,5
61,2010,FALL,4,33
61,2010,FALL,5,23
61,2010,FALL,6,18
63,2011,FALL,1,18
63,2011,FALL,2,20
63,2011,FALL,3,32
63,2011,FALL,4,46
63,2011,FALL,5,67
63,2011,FALL,6,26
64,2012,SPRING,1,7
64,2012,SPRING,4,10
64,2012,SPRING,5,11
64,2012,SPRING,6,10
65,2012,FALL,1,28
65,2012,FALL,2,8
65,2012,FALL,3,12
65,2012,FALL,4,61
65,2012,FALL,5,52
65,2012,FALL,6,39
67,2013,FALL,1,18
67,2013,FALL,2,6
67,2013,FALL,3,7
67,2013,FALL,4,48
67,2013,FALL,5,52
67,2013,FALL,6,24
68,2014,SPRING,1,23
68,2014,SPRING,2,18
68,2014,SPRING,3,13
68,2014,SPRING,4,27
68,2014,SPRING,5,31
68,2014,SPRING,6,37
69,2014,FALL,1,20
69,2014,FALL,2,15
69,2014,FALL,3,18
69,2014,FALL,4,41
69,2014,FALL,5,38
69,2014,FALL,6,42
70,2015,SPRING,1,3
70,2015,SPRING,2,10
70,2015,SPRING,3,3
70,2015,SPRING,4,44
70,2015,SPRING,5,44
70,2015,SPRING,6,60
71,2015,FALL,1,27
71,2015,FALL,2,22
71,2015,FALL,3,14
71,2015,FALL,4,85
71,2015,FALL,5,122
71,2015,FALL,6,31
72,2016,SPRING,1,19
72,2016,SPRING,2,13
72,2016,SPRING,3,2
72,2016,SPRING,4,29
72,2016,SPRING,5,72
72,2016,SPRING,6,43
73,2016,FALL,1,33
73,2016,FALL,2,13
73,2016,FALL,3,13
73,2016,FALL,4,50
73,2016,FALL,5,101
73,2016,FALL,6,69
74,2017,SPRING,1,22
74,2017,SPRING,2,22
74,2017,SPRING,3,17
74,2017,SPRING,4,47
74,2017,SPRING,5,70
74,2017,SPRING,6,42
75,2017,FALL,1,20
75,2017,FALL,2,11
75,2017,FALL,3,8
75,2017,FALL,4,44
75,2017,FALL,5,112
75,2017,FALL,6,38
76,2018,SPRING,1,41
76,2018,SPRING,2,26
76,2018,SPRING,3,20
76,2018,SPRING,4,58
76,2018,SPRING,5,132
76,2018,SPRING,6,46
