"","PERIOD","1_MacJuv","1_MacPyr","2_MacJuv","2_MacPyr","3_MacJuv","3_MacPyr","4_MacJuv","4_MacPyr","5_MacJuv","5_MacPyr","6_MacJuv","6_MacPyr"
"1",1,-1.04979857771413,-0.197155344649374,-0.0421155732236146,-0.394326913239996,0.37739465332077,0.211176185625796,-1.28534570659737,-0.113675863621332,-1.28534570659737,0.55829502509895,-0.480004753654739,-0.113675863621332
"2",2,1.13968401016031,-0.513687138536336,1.53107392443137,-1.03002692733709,1.2305102421992,-0.289928500472415,0.483310842846213,-0.653026730636419,1.3870270915182,0.126279374293161,-0.197958358611432,-0.0748735798212954
"3",3,0.892856319076813,0.959150956980874,1.43464806240893,0.914053558895844,0.850330214370493,0.15554899795196,0.584598078003485,0.7479605931282,1.4635038254346,0.948103130785291,0.618448275560071,-0.00229750481991066
"4",4,0.268149338927929,0.719195719066381,1.04789449117878,0.789329336440921,1.03733182383493,0.540356727635874,0.204712117859884,0.761979388390252,0.728006675759206,0.828742905488951,-0.154906762508342,0.15554899795196
"5",5,-0.882675230126054,0.55829502509895,0.95132323290992,0.936907007196916,1.0531046669056,0.7479605931282,-0.480004753654739,0.575855645995213,1.27818429278291,0.464477287193792,-0.557577238979657,0.0317520670695359
"6",6,-0.411580972359574,-0.580450655635035,1.07349029187056,0.464477287193792,0.618448275560071,0.211176185625796,-1.28534570659737,0.0644660122787884,0.629307109466296,0.540356727635874,-0.114826685413702,-0.918648568535666
"9",9,-0.647128101242814,0.593054166306864,-1.28534570659737,0.288224650342709,-1.28534570659737,0.464477287193792,-1.28534570659737,0.815810883909706,-1.28534570659737,0.841477483894459,-1.28534570659737,-0.113675863621332
"10",10,-1.04979857771413,0.15554899795196,-1.28534570659737,-0.197155344649374,0.780065129792086,-0.289928500472415,-1.28534570659737,0.15554899795196,-1.28534570659737,0.402663925179419,-1.28534570659737,-0.03779642317925
"11",11,-1.28534570659737,-0.113675863621332,-1.28534570659737,-0.242252742734404,0.607382594331199,-0.340495417720542,-1.28534570659737,-0.394326913239996,-1.28534570659737,0.0317520670695359,-0.295005204872071,-0.289928500472415
"12",12,-0.244457624771499,-2.07495487016591,1.15293775687428,-0.289928500472415,0.0224988127852531,-0.918648568535666,0.607382594331199,-0.918648568535666,1.68959073387087,-0.451873776521963,0.18192760153217,-0.451873776521963
"13",13,-0.00891049588825903,1.14527469937591,0.871982311822044,1.21271332673693,-1.28534570659737,-2.07495487016591,1.44000230030624,1.5037117015434,0.639966687428357,1.537304107796,0.425169289256568,0.263324333079335
"14",14,-0.647128101242814,0.704432525108286,-0.0773342771834238,-0.394326913239996,-1.28534570659737,-2.07495487016591,-0.244457624771499,0.503279570993828,0.548652756438605,0.878554640536505,-0.0421155732236146,0.3124031166882
"15",15,-0.480004753654739,0.62642256324334,-1.28534570659737,-0.820405893549528,-1.28534570659737,-2.07495487016591,-1.04979857771413,0.522024150475759,-0.882675230126054,0.775766457387845,-1.04979857771413,0.38099780616575
"16",16,-0.244457624771499,-0.451873776521963,-0.350373814296942,-2.07495487016591,0.885981319317528,-2.07495487016591,1.66839942263032,0.263324333079335,2.19017447093123,0.674098320981351,-0.882675230126054,-0.0748735798212954
"17",17,0.080640366374898,0.126279374293161,-1.28534570659737,-1.73675695726528,-0.753044290768257,-0.918648568535666,0.548652756438605,-0.154371675325503,0.857637615117003,0.464477287193792,-0.154906762508342,-0.113675863621332
"18",18,-0.350373814296942,0.0317520670695359,-1.28534570659737,-2.07495487016591,-1.28534570659737,-0.00229750481991066,1.36622428111376,0.358753856381792,0.607382594331199,0.719195719066381,-0.0421155732236146,-0.289928500472415
"19",19,0.18192760153217,-0.154371675325503,-1.28534570659737,-2.07495487016591,-1.28534570659737,-2.07495487016591,1.49827073621582,1.08143272180895,1.75666418585255,1.37418211109482,0.788305419720364,0.402663925179419
