"","SITE","PERIOD","MesFra","StrPur","PycHel","RELIEF"
"44",1,11,-0.839061096578742,0.0468868050254076,-0.532124211008807,-0.872509727584084
"45",1,40,-0.992885867300871,1.02271405506123,-0.532124211008807,-0.872509727584084
"46",1,33,-2.2434556747715,0.867732647114604,-0.532124211008807,-0.872509727584084
"47",1,18,-1.56368869706959,0.760467409351941,-0.532124211008807,-0.872509727584084
"48",1,16,-1.12751582157092,0.619682741207777,-0.532124211008807,-0.872509727584084
"49",1,64,-1.90908715598089,0.551520068729138,-0.532124211008807,-0.872509727584084
"50",1,12,-0.992885867300871,0.170512367656014,-0.532124211008807,-0.872509727584084
"51",1,57,-0.696300575103534,1.08590417637026,-0.532124211008807,-0.872509727584084
"52",1,34,-1.56368869706959,0.78181333152371,-0.532124211008807,-0.872509727584084
"53",1,32,-1.07057208765179,0.986324416721596,-0.532124211008807,-0.872509727584084
"54",1,17,-0.839061096578742,0.394988939781286,-0.532124211008807,-0.872509727584084
"55",1,15,-1.46188434036153,0.263136738510179,-0.532124211008807,-0.872509727584084
"56",1,71,-1.7503390653537,-0.352813354854975,-0.532124211008807,-0.872509727584084
"57",1,69,-0.649376962985102,0.984231731871988,-0.532124211008807,-0.872509727584084
"58",1,35,-1.1577934499721,0.753691290242945,-0.532124211008807,-0.872509727584084
"59",1,21,-0.253422495519683,1.02033563049925,-0.532124211008807,-0.872509727584084
"60",1,36,-2.60686564982431,0.519490843787476,-0.532124211008807,-0.872509727584084
"61",1,65,-0.577455478233995,1.08012014765706,0.876950687961346,-0.872509727584084
"62",1,19,-0.634399212153116,0.908398392830228,-0.532124211008807,-0.872509727584084
"63",1,70,-0.298180453341717,0.947613420931285,-0.532124211008807,-0.872509727584084
"64",1,68,-0.746539104937483,0.975582427261491,-0.532124211008807,-0.872509727584084
"65",1,49,-1.01785042480127,0.782947936190094,-0.532124211008807,-0.872509727584084
"66",1,67,-0.524733815383472,0.678546134165146,0.876950687961346,-0.872509727584084
"67",1,22,-0.475651121525928,1.34971683189607,-0.532124211008807,-0.872509727584084
"68",2,33,0.536772179466257,-0.00367213043645442,-0.532124211008807,-0.320120125122182
"69",2,39,0.945023729746817,1.33600364824698,-0.532124211008807,-0.320120125122182
"70",2,24,0.273577512243317,1.04814151299308,-0.532124211008807,-0.320120125122182
"71",2,38,0.898465828265641,1.14197097998493,-0.532124211008807,-0.320120125122182
"72",2,4,1.18232333605194,-0.362209952207785,-0.532124211008807,-0.320120125122182
"73",2,37,0.442183731332208,0.364918155711595,-0.532124211008807,-0.320120125122182
"74",2,13,1.34727067712076,0.682511360596015,-0.532124211008807,-0.320120125122182
"75",2,25,-0.203183965685735,1.09643877116921,0.876950687961346,-0.320120125122182
"76",2,29,0.273577512243317,-0.251974577089507,-0.532124211008807,-0.320120125122182
"77",2,9,1.16952563075471,0.0251819830678323,-0.532124211008807,-0.320120125122182
"78",2,51,-1.41597054656309,-2.46839452141375,0.292131765596184,-0.320120125122182
"79",2,45,-1.04372298100437,-1.38729036068361,-0.532124211008807,-0.320120125122182
"80",2,52,-0.968767730943727,-1.78680256524988,-0.532124211008807,-0.320120125122182
"81",2,50,-0.879724557417875,-2.30486171501431,0.292131765596184,-0.320120125122182
"82",2,23,0.422328948170377,1.24367663233668,0.292131765596184,-0.320120125122182
"83",2,34,0.273577512243317,0.132546256137505,-0.532124211008807,-0.320120125122182
"84",2,6,1.04822165572907,-0.294763942402202,-0.532124211008807,-0.320120125122182
"85",2,35,1.16835070581881,0.630454999728438,-0.532124211008807,-0.320120125122182
"86",2,21,0.86323997520061,1.24947610545311,-0.532124211008807,-0.320120125122182
"87",2,1,1.4493188367397,-0.108204865152731,-0.532124211008807,-0.320120125122182
"88",2,74,0.244018849933626,0.135544676389365,-0.532124211008807,-0.320120125122182
"89",2,2,1.22048417774125,-0.334408121860196,-0.532124211008807,-0.320120125122182
"90",2,7,1.10954269652724,-0.0120173767730372,-0.532124211008807,-0.320120125122182
"91",2,18,1.09143292517018,1.04374671267853,-0.532124211008807,-0.320120125122182
"92",2,10,1.26496221547823,0.125750128949577,-0.532124211008807,-0.320120125122182
"93",2,19,1.01107096842081,1.26767531977666,-0.532124211008807,-0.320120125122182
"94",2,32,0.269429297067544,0.461976586543738,-0.532124211008807,-0.320120125122182
"95",2,3,1.33061776596378,-0.548378218847097,-0.532124211008807,-0.320120125122182
"96",2,15,1.33435224638699,0.890308379382513,-0.532124211008807,-0.320120125122182
"97",2,69,0.248317454474084,-0.0338308192751434,-0.532124211008807,-0.320120125122182
"98",2,11,0.900182154519071,0.510598236694822,-0.532124211008807,-0.320120125122182
"99",2,55,-0.171560231136505,-1.15967918271479,-0.532124211008807,-0.320120125122182
"100",2,47,-2.2434556747715,-3.09848961212754,0.292131765596184,-0.320120125122182
"101",2,67,0.239694113898116,-0.183423912052802,0.292131765596184,-0.320120125122182
"102",2,31,0.313781252945621,0.0511443011784613,-0.532124211008807,-0.320120125122182
"103",2,14,1.41357805302749,1.00079224417236,-0.532124211008807,-0.320120125122182
"104",2,5,1.28620011758951,-0.23221555982886,-0.532124211008807,-0.320120125122182
"105",2,22,0.688052765493882,1.24495401310078,-0.532124211008807,-0.320120125122182
"106",2,65,0.373725484298612,-0.175032010421747,-0.532124211008807,-0.320120125122182
"107",2,46,-1.7503390653537,-2.39810352911757,0.292131765596184,-0.320120125122182
"108",2,73,-0.0707876612474224,-0.326886651178254,-0.532124211008807,-0.320120125122182
"109",2,17,1.17885582202073,0.921190524698784,-0.532124211008807,-0.320120125122182
"110",2,30,0.652533730821683,0.143721515476111,-0.532124211008807,-0.320120125122182
"111",2,42,-0.000546028249648019,-0.611755704891577,2.52546264117133,-0.320120125122182
"112",2,28,-0.800596762334603,-0.548378218847097,-0.532124211008807,-0.320120125122182
"113",2,76,0.477204608287248,0.394481796174171,-0.532124211008807,-0.320120125122182
"114",2,68,0.536772179466257,0.0662501702874606,-0.532124211008807,-0.320120125122182
"115",2,53,-1.18941718452133,-2.43232371623539,-0.532124211008807,-0.320120125122182
