"","PERIOD","SITE","MacJuv","MacPyr"
"1",1,1,0.01218765311122,0.423060088788845
"2",1,2,0.1828147966683,0.323516538485587
"3",1,3,0.40219255267026,0.721690739698618
"4",1,4,0,0.472831863940474
"5",1,5,0,1.11986494091165
"6",1,6,0.0731259186673199,0.472831863940474
"7",2,1,1.56001959823616,0.273744763333959
"8",2,2,3.08347623713866,0.124429437879072
"9",2,3,1.828147966683,0.373288313637216
"10",2,4,0.4875061244488,0.22397298818233
"11",2,5,2.40096766291034,0.647033076971175
"12",2,6,0.13406418422342,0.497717751516288
"13",3,1,1.01157520823126,1.84155568061027
"14",3,2,2.60815776580108,1.74201213030701
"15",3,3,0.938449289563939,0.671918964546989
"16",3,4,0.585007349338559,1.41849559182142
"17",3,5,2.7422219500245,1.81666979303445
"18",3,6,0.621570308672219,0.547489526667917
"19",4,1,0.32906663400294,1.36872381666979
"20",4,2,1.32845418912298,1.49315325454887
"21",4,3,1.30407888290054,1.09497905333583
"22",4,4,0.29250367466928,1.44338147939724
"23",4,5,0.755634492895639,1.56781091727631
"24",4,6,0.14625183733464,0.671918964546989
"25",5,1,0.02437530622244,1.11986494091165
"26",5,2,1.12126408623224,1.79178390545864
"27",5,3,1.3406418422342,1.41849559182142
"28",5,4,0.0731259186673199,1.14475082848746
"29",5,5,1.98658745712886,0.995435503032577
"30",5,6,0.0609382655560999,0.572375414243732
"31",6,1,0.0853135717785399,0.248858875758144
"32",6,2,1.38939245467908,0.995435503032577
"33",6,3,0.621570308672219,0.721690739698618
"34",6,4,0,0.597261301819546
"35",6,5,0.633757961783439,1.09497905333583
"36",6,6,0.15843949044586,0.149315325454887
"37",7,1,3.03472562469378,3.78265491152379
"38",7,2,7.26384125428711,0.746576627274433
"39",7,3,5.82569818716316,0.597261301819546
"40",7,4,10.9445124938755,1.49315325454887
"41",7,5,8.87261146496815,1.56781091727631
"42",8,1,0,2.31438754455074
"43",8,4,2.99816266536012,5.42512349152754
"44",8,5,2.96159970602646,3.93197023697868
"45",9,1,0.04875061244488,1.16963671606328
"46",9,2,0,0.796348402426061
"47",9,3,0,0.995435503032577
"48",9,4,0,1.54292502970049
"49",9,5,0,1.59269680485212
"50",9,6,0,0.472831863940474
"51",10,1,0.01218765311122,0.671918964546989
"52",10,2,0,0.423060088788845
"53",10,3,0.828760411562959,0.373288313637216
"54",10,4,0,0.671918964546989
"55",10,5,0,0.920777840305133
"56",10,6,0,0.522603639092103
"57",11,1,0,0.472831863940474
"58",11,2,0,0.398174201213031
"59",11,3,0.609382655560999,0.348402426061402
"60",11,4,0,0.323516538485587
"61",11,5,0,0.572375414243732
"62",11,6,0.10968887800098,0.373288313637216
"63",12,1,0.1218765311122,0
"64",12,2,1.59658255756982,0.373288313637216
"65",12,3,0.20719010289074,0.149315325454887
"66",12,4,0.609382655560999,0.149315325454887
"67",12,5,4.05848848603626,0.298630650909773
"68",12,6,0.28031602155806,0.298630650909773
"69",13,1,0.19500244977952,2.31438754455074
"70",13,2,0.975012248897599,2.51347464515726
"71",13,3,0,0
"72",13,4,2.63253307202352,3.58356781091728
"73",13,5,0.645945614894659,3.73288313637216
"74",13,6,0.43875551200392,0.771462514850247
"75",14,1,0.04875061244488,1.34383792909398
"76",14,2,0.17062714355708,0.323516538485587
"77",14,3,0,0
"78",14,4,0.1218765311122,1.04520727818421
"79",14,5,0.5484443900049,1.66735446757957
"80",14,6,0.1828147966683,0.821234290001876
"81",15,1,0.0731259186673199,1.21940849121491
"82",15,2,0,0.174201213030701
"83",15,3,0,0
"84",15,4,0.01218765311122,1.07009316576002
"85",15,5,0.02437530622244,1.46826736697305
"86",15,6,0.01218765311122,0.895891952729319
"87",16,1,0.1218765311122,0.298630650909773
"88",16,2,0.0975012248897599,0
"89",16,3,0.999387555120039,0
"90",16,4,3.91223664870162,0.771462514850247
"91",16,5,9.64043361097501,1.29406615394235
"92",16,6,0.02437530622244,0.497717751516288
"93",17,1,0.23156540911318,0.647033076971175
"94",17,2,0,0.0248858875758144
"95",17,3,0.03656295933366,0.149315325454887
"96",17,4,0.5484443900049,0.447945976364659
"97",17,5,0.950636942675159,0.995435503032577
"98",17,6,0.14625183733464,0.472831863940474
"99",18,1,0.0975012248897599,0.572375414243732
"100",18,2,0,0
"101",18,3,0,0.547489526667917
"102",18,4,2.3156540911318,0.871006065153505
"103",18,5,0.609382655560999,1.36872381666979
"104",18,6,0.1828147966683,0.373288313637216
"105",19,1,0.28031602155806,0.447945976364659
"106",19,2,0,0
"107",19,3,0,0
"108",19,4,2.91284909358158,2.14018633152004
"109",19,5,4.55818226359628,3.06096417182517
"110",19,6,0.840948064674179,0.920777840305133
"111",21,1,0.01218765311122,0
"112",21,2,0,0
"113",21,3,0.21937775600196,0.149315325454887
"114",21,4,0.0609382655560999,0.547489526667917
"115",21,5,0.0609382655560999,1.21940849121491
"116",21,6,0,0.572375414243732
"117",22,1,0,0
"118",22,2,0.21937775600196,0
"119",22,3,0,0.0497717751516288
"120",22,4,0.01218765311122,0.497717751516288
"121",22,5,0.2437530622244,0.547489526667917
"122",22,6,0,0.472831863940474
"123",23,1,0,0
"124",23,2,0,0
"125",23,3,0.01218765311122,0
"126",23,4,1.45033072023518,0.273744763333959
"127",23,5,2.99816266536012,2.48858875758144
"128",23,6,0.0975012248897599,0.447945976364659
"129",24,1,0,0
"130",24,2,0,0
"131",24,3,0.01218765311122,0
"132",24,4,0.536256736893679,0.920777840305133
"133",24,5,1.1578270455659,3.13562183455262
"134",24,6,0.02437530622244,0.547489526667917
"135",25,1,0,0.0248858875758144
"136",25,2,0,0
"137",25,3,0.1218765311122,0.248858875758144
"138",25,4,1.12126408623224,0.771462514850247
"139",25,5,0.767822146006859,1.96598511848934
"140",25,6,0.34125428711416,0.348402426061402
"141",26,4,0.28031602155806,0.572375414243732
"142",26,5,0.10968887800098,1.19452260363909
"143",26,6,0.0731259186673199,0.572375414243732
"144",27,1,0,0.0746576627274433
"145",27,2,0.43875551200392,0.821234290001876
"146",27,3,0.57281969622734,0.671918964546989
"147",27,4,0.0609382655560999,0.547489526667917
"148",27,5,0.49969377756002,0.995435503032577
"149",27,6,0.03656295933366,0.323516538485587
"150",28,1,0,0
"151",28,2,4.53380695737384,1.16963671606328
"152",28,3,1.25532827045566,1.59269680485212
"153",28,4,0.03656295933366,0.547489526667917
"154",28,5,0.0975012248897599,1.14475082848746
"155",28,6,0,0.149315325454887
"156",29,1,0,0
"157",29,2,0.02437530622244,1.36872381666979
"158",29,3,0,0.871006065153505
"159",29,4,0.45094316511514,0.298630650909773
"160",29,5,0.0975012248897599,0.721690739698618
"161",29,6,0.0609382655560999,0.248858875758144
"162",30,1,0,0
"163",30,2,1.38939245467908,0.497717751516288
"164",30,3,0.889698677119059,0.0995435503032577
"165",30,4,0.26812836844684,0.373288313637216
"166",30,5,0.15843949044586,0.273744763333959
"167",30,6,0,0
"168",31,1,0,0
"169",31,2,0.39000489955904,1.41849559182142
"170",31,3,2.05971337579618,1.96598511848934
"171",31,4,1.92564919157276,2.16507221909585
"172",31,5,2.40096766291034,3.13562183455262
"173",31,6,0,0
"174",32,1,0,0
"175",32,2,1.79158500734934,0.398174201213031
"176",32,3,1.08470112689858,0.721690739698618
"177",32,4,0.13406418422342,1.02032139060839
"178",32,5,0.29250367466928,1.69224035515538
"179",32,6,0,0
"180",33,1,0,0
"181",33,2,0.670320921117099,1.49315325454887
"182",33,3,0.0975012248897599,0.696804852122804
"183",33,4,0.21937775600196,0.771462514850247
"184",33,5,0.37781724644782,1.51803914212468
"185",33,6,0,0
"186",34,1,0,0
"187",34,2,0.853135717785399,1.36872381666979
"188",34,3,0.32906663400294,0.696804852122804
"189",34,4,0.29250367466928,0.771462514850247
"190",34,5,0.19500244977952,1.41849559182142
"191",34,6,0.03656295933366,0
"192",35,1,0,0
"193",35,2,0.0975012248897599,0.796348402426061
"194",35,3,0.35344194022538,0.497717751516288
"195",35,4,0.17062714355708,0.273744763333959
"196",35,5,0.0853135717785399,0.447945976364659
"197",35,6,1.36501714845664,2.46370287000563
"198",36,1,0,0
"199",36,2,0.3656295933366,0.348402426061402
"200",36,3,0.28031602155806,0.174201213030701
"201",36,4,0.31687898089172,0.298630650909773
"202",36,5,0.49969377756002,0.0995435503032577
"203",36,6,0.15843949044586,1.07009316576002
"204",37,1,0.03656295933366,0.273744763333959
"205",37,2,0.645945614894659,0.597261301819546
"206",37,3,0.4265678588927,0.871006065153505
"207",37,4,4.41193042626164,1.07009316576002
"208",37,6,0.719071533561979,2.18995810667167
"209",38,1,0.17062714355708,0.199087100606515
"210",38,2,0.14625183733464,1.11986494091165
"211",38,3,0.04875061244488,1.09497905333583
"212",38,4,0.03656295933366,1.44338147939724
"213",38,5,0.04875061244488,3.26005127243169
"214",38,6,0.25594071533562,1.91621334333771
"215",39,1,0.02437530622244,0.0995435503032577
"216",39,2,0,0.497717751516288
"217",39,3,0.01218765311122,0.298630650909773
"218",39,5,0,1.86644156818608
"219",40,1,0,0
"220",40,4,0.03656295933366,0.84612017757769
"221",40,5,0.01218765311122,1.61758269242794
"222",40,6,0.04875061244488,0.22397298818233
"223",41,1,0,0
"224",41,2,0,0
"225",41,3,0,0
"226",41,4,0.0731259186673199,0.771462514850247
"227",41,5,0.01218765311122,1.16963671606328
"228",41,6,0,0
"229",42,1,0.01218765311122,0
"230",42,2,7.60509554140127,0.84612017757769
"231",42,3,3.66848358647722,0.796348402426061
"232",42,4,0.0975012248897599,0.199087100606515
"233",42,5,0.950636942675159,0.398174201213031
"234",42,6,0,0
"235",43,1,0,0
"236",43,2,0.0853135717785399,5.37535171637591
"237",43,3,0,3.16050772212843
"238",43,4,0.560632043116119,1.19452260363909
"239",43,5,1.13345173934346,3.2849371600075
"240",43,6,0,0
"241",44,1,0,0
"242",44,2,0.1218765311122,1.79178390545864
"243",44,3,0.694696227339539,1.59269680485212
"244",44,4,0.14625183733464,0.995435503032577
"245",44,5,0.04875061244488,2.14018633152004
"246",44,6,0.02437530622244,0.0248858875758144
"247",45,1,0,0
"248",45,2,0.3656295933366,1.11986494091165
"249",45,3,0.23156540911318,1.79178390545864
"250",45,4,0.47531847133758,0.871006065153505
"251",45,5,0.1218765311122,1.69224035515538
"252",45,6,0.889698677119059,1.64246858000375
"253",46,1,0.15843949044586,1.96598511848934
"254",46,2,0.670320921117099,10.1285562433565
