series,time,juv,adult
1,55,-19.999190032278275,-38.86545173707274
1,57,-17.47968225155809,-34.007485767367186
1,60,-13.700459382535977,-26.7205219714978
1,61,-12.440833435143679,-24.291490050031584
1,63,-9.924119782328114,-19.43245536125214
1,64,-8.673837464528248,-16.99984962549577
1,65,-7.453837680470053,-14.555661367548876
1,67,-5.626631050201706,-9.43395205459097
1,68,-5.346149660471847,-7.152345409889394
1,69,-5.808853640039985,-7.173640275880134
1,70,-6.461059292921324,-7.810293111357016
1,71,-7.157093763049407,-8.588482983852682
1,72,-7.871162944368008,-9.42501446683613
1,73,-8.594553482316183,-10.291831237510323
1,74,-9.323346749787802,-11.17628772841697
1,75,-10.05548455797935,-12.071714769561348
1,76,-10.789779029776318,-12.974244371217283
