series,time,juv,adult
1,67,-0.26450940714556076,0.3900707757341109
1,68,-0.4850462150842187,-0.16742107005810375
1,69,0.7298977148925005,0.3147749089474725
1,70,-0.025542342999719695,0.3276573019315696
1,71,0.09598158859385894,-0.03332374443102484
1,72,0.38161473232433957,0.3948230588102224
1,73,0.1065897143762449,0.0984903170244895
1,74,0.40118975994945333,0.3226367444821761
1,75,0.1854253758142644,0.1657922488994203
1,76,0.36274876309942045,0.27502954682985126
2,67,0.7881669325477039,0.37736133764006863
2,68,0.7179421927942673,0.5941036138287086
2,69,0.8729434964854454,0.5513678466576156
2,70,0.7444665010530214,0.5209026538551687
2,71,0.8197502553675698,0.5659279983814598
2,72,0.7921653441567518,0.5321512184489835
2,73,0.7938760874297444,0.5487980021618798
2,74,0.8016278599075363,0.5443379727402836
2,75,0.7938494411233632,0.5430635338337975
2,76,0.7985986152932181,0.5457309112946764
3,67,0.08110705613913734,0.10383693285547377
3,68,0.9340238479886589,0.6837623938352535
3,69,0.37075787292499035,0.2860150059955745
3,70,0.7416333549025991,0.5486882153792245
3,71,0.5790648705004621,0.3524207899385611
3,72,0.631039741379843,0.4674914745786985
3,73,0.6462019331342639,0.41581874670409585
3,74,0.6120006786883081,0.4294062261593351
3,75,0.6436036232066821,0.43451213477562384
3,76,0.6223923881709972,0.42385589205887525
4,67,0.7644179473371807,0.4914092182918677
4,68,0.1747839349719164,0.2903655079386528
4,69,0.24372337913038825,0.08997456130891265
4,70,0.7529111048010358,0.38835662461545384
4,71,0.36426958820037975,0.32408737693313344
4,72,0.3300569766953637,0.14758895844967945
4,73,0.6896423385168517,0.3450709940874643
4,74,0.41313425206868376,0.3077737836426595
4,75,0.4230130231483299,0.18531395986760943
4,76,0.6358040547671628,0.33096801275311
5,67,0.39701314326213794,0.6012376674633878
5,68,0.7071813481998591,0.5869984475214626
5,69,0.6953418010479095,0.7318638034098662
5,70,0.5287559010078231,0.5976506256138404
5,71,0.7066386247566306,0.6466364793989882
5,72,0.6387327390332138,0.677367339631821
5,73,0.6042063826875514,0.6130564068764018
5,74,0.6808250508139263,0.6601239347075548
5,75,0.624828546368789,0.6512230665580142
5,76,0.637706270070412,0.6313991122222553
6,67,0.0783159664139004,0.27725677059505577
6,68,0.5033186889903338,0.316030977642451
6,69,0.295421265214327,0.39876453969821
6,70,0.2744690884355413,0.251488849544984
6,71,0.46172485087516885,0.40772518334471514
6,72,0.24197581898520074,0.31089141836300194
6,73,0.43790943780330005,0.33588027948085974
6,74,0.3266468862903463,0.3639128894288263
6,75,0.34594981955016474,0.30253219835065015
6,76,0.399835494831893,0.37213121249844194
