series,time,juv_f,adult_f,juv,adult,sim
1,1,0.2999517081547737,0.26352600575022866,-1.28534570659737,-1.03002692733709,1
2,1,-0.532080774085157,-0.11671025211363979,-0.753044290768257,0.126279374293161,1
3,1,0.7359207719367558,0.4154980487942401,-0.411580972359574,0.237657733094583,1
4,1,0.031205373879951523,-0.024037940672612255,-1.28534570659737,0.183826237575128,1
5,1,-0.2517753204991012,0.18066576696496728,-1.28534570659737,0.237657733094583,1
6,1,-1.792275100620715,-1.128195245476001,-0.350373814296942,-0.918648568535666,1
1,1,0.11790488674655115,0.23275322768490928,0.536159141595623,0.237657733094583,2
1,2,0.38996579604140463,0.23559487230143591,-1.28534570659737,-1.03002692733709,2
2,1,1.6069981463064145,1.8019537604675135,-1.28534570659737,0.593054166306864,2
2,2,-0.3093760881991103,0.8947500782015188,-0.753044290768257,0.126279374293161,2
3,1,1.3556180748528555,1.4855060320667706,0.618448275560071,0.15554899795196,2
3,2,-0.26404495988918997,0.6235877347400107,-0.411580972359574,0.237657733094583,2
4,1,-0.2538350848331017,0.19642775236418822,0.0224988127852531,0.211176185625796,2
4,2,-0.2146492222460446,-0.056015034488193,-1.28534570659737,0.183826237575128,2
5,1,0.24874597252134478,0.6591841419350178,-0.753044290768257,0.33590040808072,2
5,2,0.17520798870752338,0.2736691115070715,-1.28534570659737,0.237657733094583,2
6,1,0.23683299789003684,0.12235119147055355,-1.28534570659737,-0.820405893549528,2
6,2,0.4569512024401362,0.3389839949746563,-0.350373814296942,-0.918648568535666,2
1,1,-0.7486100209373033,0.012110623966199085,0.618448275560071,0.33590040808072,3
1,2,-0.4525763025373635,-0.5195027292454278,0.536159141595623,0.237657733094583,3
1,3,0.8831489602342703,0.5203645085325033,-1.28534570659737,-1.03002692733709,3
2,1,-1.3219165883678594,0.20623759698707225,2.62143279142576,1.04263043800892,3
2,2,-1.4220353927867313,-0.6827430423545033,-1.28534570659737,0.593054166306864,3
2,3,-2.6347770390236347,-1.898451376440205,-0.753044290768257,0.126279374293161,3
3,1,-0.09141672681417606,0.05137746609926181,2.26820463429095,0.358753856381792,3
3,2,1.042427336246382,0.6230468439408342,0.618448275560071,0.15554899795196,3
3,3,0.278074253904889,0.4222257021833172,-0.411580972359574,0.237657733094583,3
4,1,1.2586239435561566,1.0406999321152721,0.548652756438605,0.484104044107036,3
4,2,0.3466182528581605,0.633640673332879,0.0224988127852531,0.211176185625796,3
4,3,-0.9526699664837053,0.2524096169129246,-1.28534570659737,0.183826237575128,3
5,1,0.9845136877689736,1.2763700353332195,1.07847685209768,0.878554640536505,3
5,2,-0.2676213882122164,0.7124591995605309,-0.753044290768257,0.33590040808072,3
5,3,-0.7056292337512863,0.3412669037913837,-1.28534570659737,0.237657733094583,3
6,1,1.048765475494508,0.978354147751079,-0.0773342771834238,0.0959451701662267,3
6,2,-0.2808293956776719,0.613764356119232,-1.28534570659737,-0.820405893549528,3
6,3,-1.1135460756522089,0.2136352259901464,-0.350373814296942,-0.918648568535666,3
1,1,0.1519373066367384,0.43635024783826565,-0.197958358611432,0.689403313388867,4
1,2,-0.18307447395841903,-0.02036284140997794,0.618448275560071,0.33590040808072,4
1,3,0.43667885753642033,0.3115509737288575,0.536159141595623,0.237657733094583,4
1,4,0.0017095406201108468,0.1835067952114847,-1.28534570659737,-1.03002692733709,4
2,1,1.5514983662960393,1.6571660567020627,-0.882675230126054,1.41963063470958,4
2,2,-0.025066798807943446,0.8386010425664298,2.62143279142576,1.04263043800892,4
2,3,-0.6640521167571453,-0.00862497025728578,-1.28534570659737,0.593054166306864,4
2,4,0.10921274156730174,-0.36794978769096853,-0.753044290768257,0.126279374293161,4
3,1,1.6997023541180443,1.8307744367182566,0.618448275560071,0.733702148767084,4
3,2,0.21101991510183768,1.0532018973515245,2.26820463429095,0.358753856381792,4
3,3,-1.114733014029573,-0.0574682068339547,0.618448275560071,0.15554899795196,4
3,4,-2.612417845664605,-1.684826961448883,-0.411580972359574,0.237657733094583,4
4,1,1.1009030000078803,0.5860028634516946,1.08832337086541,-0.289928500472415,4
4,2,0.7000703191077683,0.7121828912015243,0.548652756438605,0.484104044107036,4
4,3,-0.436131830058806,0.28157745422567637,0.0224988127852531,0.211176185625796,4
4,4,-0.6347663035959082,-0.034864663717481495,-1.28534570659737,0.183826237575128,4
5,1,1.5507585629213838,1.5786228446878143,1.54901915666395,1.55360622965108,4
5,2,0.9967346300706522,1.3681070496485017,1.07847685209768,0.878554640536505,4
5,3,-0.2812052140480057,0.7582336742342648,-0.753044290768257,0.33590040808072,4
5,4,-0.7433466859967379,0.2854619901889381,-1.28534570659737,0.237657733094583,4
6,1,1.0638860220736996,0.6614296496555957,0.247763713962973,-0.394326913239996,4
6,2,0.37558544508092156,0.7560766964127849,-0.0773342771834238,0.0959451701662267,4
6,3,-0.7853537301051837,0.27946970743850946,-1.28534570659737,-0.820405893549528,4
6,4,-0.7933997462704854,-0.160054639740221,-0.350373814296942,-0.918648568535666,4
1,1,0.6616184393648341,-0.05978205879751432,0.325336199287891,0.183826237575128,5
1,2,0.5717929324727313,0.8166959716834254,-0.197958358611432,0.689403313388867,5
1,3,-0.5952734743501192,0.03302090670848683,0.618448275560071,0.33590040808072,5
1,4,-0.3298405492221912,-0.4945108183013691,0.536159141595623,0.237657733094583,5
1,5,0.6545211889893685,0.5399315170508269,-1.28534570659737,-1.03002692733709,5
2,1,0.6870073792781833,0.0750748348861829,2.18205975144069,0.841477483894459,5
2,2,0.6058902205697706,0.7019155894194576,-0.882675230126054,1.41963063470958,5
2,3,0.15931412206101989,0.09401241157111384,2.62143279142576,1.04263043800892,5
2,4,0.5773270574485392,0.4635843119660042,-1.28534570659737,0.593054166306864,5
2,5,0.34046783931860697,0.25101041259136864,-0.753044290768257,0.126279374293161,5
3,1,0.4067830201556125,0.4282060499649451,2.15155769612041,0.423781475489621,5
3,2,0.2889715197240528,0.13031644135832018,0.618448275560071,0.733702148767084,5
3,3,0.3635181299368199,0.31209343565956527,2.26820463429095,0.358753856381792,5
3,4,0.33374616138425683,0.20832352380919228,0.618448275560071,0.15554899795196,5
