series,time,juv,adult
1,25,-1.173253867049737,-2.374574604198231
1,27,1.3184342062292786,1.7012812827692247
1,28,1.907164028185217,3.2133536214084524
1,29,1.0860091361738364,3.025152771304972
2,25,-1.2138840151224335,-2.2272039747318706
2,27,-1.3431219867112556,-2.43119062714103
2,28,-1.4229442551962064,-2.5447282676024487
2,29,-1.5101956023691112,-2.6692180597425175
3,25,-1.7609742702753393,-2.0222160609054045
3,27,0.2362245333377472,-0.5204950629327053
3,28,-0.09091725983398878,-0.8539720858238965
3,29,-0.49143822972241674,-1.2307691918163535
4,26,0.8393787107329362,0.576079020869999
4,27,0.7277550001332985,0.4989913599171195
4,28,0.7627987905095877,0.4758451804976104
4,29,0.7794562883215669,0.5044533294673872
5,26,1.269702095021527,0.7516832439652936
5,27,1.2068873353738145,0.9254121887656623
5,28,1.0921220823249582,0.8648985578737082
5,29,1.1802142289762207,0.8529850150430455
6,26,0.8255372588640426,0.11482319717319879
6,27,-0.6019395966467815,0.1534274271526064
6,28,-1.1349021432413628,-0.02131768742539679
6,29,-0.6843882559943554,-0.13827016518368376
