series,time,juv,adult
1,22,0.5228715759136129,1.430066866217642
1,23,-0.6907413160268755,0.8679781015143143
1,24,-0.7946371033021126,0.5218880559069367
1,25,-0.850080332289938,0.0022409010122322577
1,27,0.04090468063785316,1.2633791211386738
1,28,-0.7156332703498329,0.7787796825003142
1,29,-0.797182887575974,0.41201627641935645
2,22,-1.2978836355155527,-2.193094031499287
2,23,-1.330532003541803,-2.2462018755646462
2,24,-1.3835604198189142,-2.298759577194112
2,25,-1.4664409919103594,-2.3600585464735664
2,27,-1.7226263572496934,-2.541817414981957
2,28,-1.8795534598792043,-2.667184545510767
2,29,-2.045274166167147,-2.8110309000261378
3,22,-0.42064239612618776,-0.8851351699911377
3,23,-0.5395186906605499,-0.9702448217039421
3,24,-0.552252031557422,-1.0061387877994163
3,25,-0.5418545949774954,-1.0214308001098495
3,27,-0.5145639473001529,-1.0369689497171855
3,28,-0.5050712945904285,-1.0441608183353805
3,29,-0.49935654375746497,-1.0518535463275918
4,23,1.492985139408223,0.316837696836512
4,24,0.9023537637564716,0.985561140713371
4,25,-0.4309270251210428,0.3819437300661115
4,26,-0.824066901003626,-0.02918194956870057
4,27,1.483586814546293,0.44271016758969417
4,28,0.797470132509643,0.9034596460557637
4,29,-0.37562223575746423,0.34050883136543786
5,23,2.1257032479146596,1.1221686325231115
5,24,-0.0890699013729094,0.8742047372314969
5,25,-1.2268759526777673,0.5742793878423234
5,26,-0.6158233882790702,0.302903004459676
5,27,2.4211235671994884,0.809784036071426
5,28,0.50377236385044,0.9456967528353034
5,29,-0.6860177247417611,0.6212996480465879
6,23,-0.5845208778845286,-0.29589620063314054
6,24,0.23428957927838942,-0.32773304966888256
6,25,0.5661406483741702,0.2559210813034012
6,26,-0.4413548280316199,0.2127966894540106
6,27,-0.7941119130042451,0.01009418731631215
6,28,-0.5066750770085873,-0.1775846355499559
6,29,0.07798248200484272,-0.2699738031572833
