variable,MSE,MSE_SE,MAE,MAE_SE,correlation,count
MacJuv,0.7849595592081952,0.18605591815745598,0.7414891755663193,0.10843278141922191,0.4709907950638703,21
MacPyr,1.3109053750519422,0.4691862561814638,0.8877749144822441,0.16167267491261253,0.5488136404903595,21
