variable,MSE,MSE_SE,MAE,MAE_SE,correlation,count
MacJuv,0.8232227894530101,0.35889499250756907,0.6463214198821186,0.14238880076301164,0.3288729647567619,21
MacPyr,1.2349421984537796,0.480926662230205,0.8004932068037282,0.1723590473858079,0.4580626127136076,21
