variable,MSE,MSE_SE,MAE,MAE_SE,correlation,count
MacJuv,0.720381304935559,0.1774781786015301,0.7140185112814901,0.1026057674994256,0.5113204173198272,21
MacPyr,0.9329165562811617,0.3423530788344167,0.7024942552690694,0.14822590488762707,0.6204621999385269,21
