variable,MSE,MSE_SE,MAE,MAE_SE,correlation,count
MacJuv,0.6544035000868482,0.2148958637046364,0.5831652019371051,0.12536383994926603,0.4803494682959869,21
MacPyr,1.5910365721021489,0.5472950301952796,0.9190619124643875,0.1931789032424933,0.3787111778567017,21
